Surname;First Name;Full name;Club;Nationality;Category;Genre
BOUQUIER;Adele;Adele BOUQUIER;Toulouse Club De Patinage;FRA;CATEGORIE 2 POUSSIN FILLES;F
BRAS;Chloe;Chloe BRAS;Toulouse Club De Patinage;FRA;CATEGORIE 1 POUSSIN FILLES;F
BRUNEVAL;Tom;Tom BRUNEVAL;Club Olympique Patinage Nimois;FRA;CATEGORIE 2 POUSSIN GARCONS;F
CLEMENTI;Emma;Emma CLEMENTI;Narbonne Patinage En Liberte;FRA;CATEGORIE 2 MINIMES FILLES;F
ERNY;Izia;Izia ERNY;Toulouse Club De Patinage;FRA;CATEGORIE 1 POUSSIN FILLES;F
KARMOUNI;Nael;Nael KARMOUNI;Club Olympique Patinage Nimois;FRA;CATEGORIE 2 POUSSIN GARCONS;F
PITIE;Shaims;Shaims PITIE;Toulouse Club De Patinage;FRA;CATEGORIE 1 POUSSIN GARCONS;F
VIGNOLES;Sophie;Sophie VIGNOLES;Toulouse Club De Patinage;FRA;CATEGORIE 2 POUSSIN FILLES;F
