Surname;First Name;Full name;Club;Nationality;Category;Genre
BUE-HUBERT;Mathys;Mathys BUE-HUBERT;TOUCP;FRA;Categorie 2 Minime Garçon;F
DUPEYROUX;Clemence;Clemence DUPEYROUX;NARBO;FRA;Categorie 2 Novice Fille;F
ERNY;Izia;Izia ERNY;TOUCP;FRA;Categorie 3 Pous/Ben Fille;F
GONZALEZ;Julie;Julie GONZALEZ;TOUCP;FRA;Categorie 3 Minime Fille;F
JAQUET;Iris;Iris JAQUET;;ESP;Categorie 3 Minime Fille;F
MARSAL;Julia;Julia MARSAL;;ESP;Categorie 3 Minime Fille;F
PITIE;Shaims;Shaims PITIE;TOUCP;FRA;Categorie 3 Pous/Ben Garçon;F
VIGNOLES;Sophie;Sophie VIGNOLES;TOUCP;FRA;Categorie 3 Pous/Ben Fille;F
